Chart-1,0.4592,0.2477
Chart-2,0.3723,0.0669
Chart-3,0.1153,0.1102
Chart-4,1.0120,0.5299
Chart-5,0.1524,0.1288
Chart-6,2.6752,0.1446
Chart-7,0.1353,0.0799
Chart-8,0.0972,0.1924
Chart-9,0.1146,0.0874
Chart-11,0.7100,0.0187
Chart-12,0.1455,0.0618
Chart-15,0.1301,0.0829
Chart-16,0.7929,0.1978
Chart-17,0.0686,0.0548
Chart-20,2.1219,0.3233
Chart-21,0.0730,0.1044
Chart-22,0.2315,0.0438
Chart-25,0.3628,0.1514
Chart-26,0.4039,0.0724
Lang-1,0.1920,0.0859
Lang-2,0.7341,0.0992
Lang-3,0.1754,0.1498
Lang-4,0.0958,0.1041
Lang-5,0.7590,0.2475
Lang-6,1.0965,0.1737
Lang-7,0.1071,0.1866
Lang-9,0.2026,0.1443
Lang-10,0.2156,0.0809
Lang-12,0.0025,0.0533
Lang-14,0.6447,0.0208
Lang-15,0.9647,0.0751
Lang-16,0.1139,0.1699
Lang-17,0.1523,0.0594
Lang-18,0.0500,0.1017
Lang-19,0.7053,0.0686
Lang-22,0.9972,0.1893
Lang-26,0.3721,0.0212
Lang-27,0.2054,0.0701
Lang-28,0.2178,0.0873
Lang-31,0.3590,0.5454
Lang-32,0.1684,0.0568
Lang-34,1.2112,0.1578
Lang-36,0.2181,0.0761
Lang-37,0.1148,2.3675
Lang-39,0.4762,7.5294
Lang-40,0.1196,1.8204
Lang-42,0.1794,0.1034
Lang-44,0.0352,0.1887
Lang-46,0.4674,0.1160
Lang-47,0.6009,0.1012
Lang-48,0.5915,0.0246
Lang-50,0.0519,0.0540
Lang-53,0.6886,0.0888
Lang-54,0.0795,0.2996
Lang-55,0.1105,0.2728
Lang-59,0.2312,0.2156
Lang-60,0.2755,0.2803
Lang-61,0.1737,0.0573
Lang-62,0.3107,0.0637
Lang-63,0.0986,0.0476
Lang-64,0.3638,0.4700
Lang-65,0.4756,0.1054
Math-1,0.2325,0.0483
Math-2,0.2966,0.1185
Math-6,0.2132,0.0962
Math-7,0.4872,0.2638
Math-11,0.5350,0.1269
Math-13,0.2574,0.2781
Math-14,0.1420,0.1924
Math-15,1.4505,0.2641
Math-16,1.3070,0.9144
Math-17,1.1727,0.1865
Math-21,0.1923,0.0465
Math-23,0.0872,0.1090
Math-24,0.1066,0.0796
Math-26,0.6015,0.1289
Math-27,0.2613,0.0831
Math-28,0.2947,0.2253
Math-29,0.1241,0.0919
Math-30,0.0000,0.0000
Math-31,1.2359,1.4986
Math-33,0.5220,0.1616
Math-34,0.1486,0.0825
Math-36,0.5023,0.0768
Math-37,0.5208,0.0659
Math-40,0.6731,0.2644
Math-41,0.3211,0.1062
Math-42,0.3915,0.0602
Math-43,1.6077,0.1234
Math-44,0.7836,0.2545
Math-45,0.6153,0.1617
Math-46,0.2299,0.0569
Math-47,0.2781,0.0676
Math-48,0.1833,0.0493
Math-49,0.1754,0.1560
Math-50,0.2746,0.0858
Math-52,0.0943,0.0607
Math-53,0.8125,0.1001
Math-54,0.1081,0.2233
Math-55,0.2446,0.1330
Math-57,0.0492,0.1940
Math-58,0.0380,0.0894
Math-64,0.2258,0.0663
Math-65,0.4276,0.1429
Math-66,0.0900,0.0555
Math-68,0.1564,0.0924
Math-69,0.6112,0.1263
Math-74,0.1539,0.0689
Math-76,0.4105,0.2225
Math-79,0.0554,0.1390
Math-81,0.0802,0.0844
Math-82,0.4087,0.0243
Math-83,0.3958,0.1179
Math-84,0.0605,0.0268
Math-85,1.3545,0.2349
Math-86,0.1263,0.0904
Math-87,0.1871,0.0477
Math-88,0.5220,0.2994
Math-89,0.0417,0.0718
Math-90,0.1462,0.2255
Math-92,1.0125,8.0521
Math-93,0.0388,2.7483
Math-94,1.6308,0.3308
Math-95,0.0891,0.1445
Math-96,1.4249,0.1158
Math-97,1.0665,0.1519
Math-99,1.9542,0.1483
Math-100,0.0344,0.0790
Math-101,1.8074,0.1800
Math-103,0.6777,0.2063
Mockito-2,0.8162,0.1052
Mockito-3,0.3675,0.3569
Mockito-5,0.3451,0.0451
Mockito-6,0.6051,0.2056
Mockito-9,0.7170,0.1064
Mockito-10,0.3067,0.2108
Mockito-11,0.8262,0.2318
Mockito-12,0.1410,0.1490
Mockito-13,2.1780,0.1938
Mockito-14,1.9852,0.3842
Mockito-16,0.5279,0.1026
Mockito-17,0.6694,0.1012
Mockito-18,2.9013,0.8379
Mockito-20,2.4347,0.1069
Mockito-21,0.3731,0.0960
Mockito-22,2.8312,0.3360
Mockito-23,0.4826,0.1017
Mockito-24,0.9882,0.0205
Mockito-25,0.2252,0.1239
Mockito-27,1.0993,0.1812
Mockito-28,0.0842,0.0777
Mockito-29,0.3479,0.1207
Mockito-32,0.2010,0.1166
Mockito-33,2.4153,0.3418
Mockito-34,2.0169,0.2255
Mockito-35,0.4866,0.1804
Mockito-36,0.5598,0.1035
Mockito-37,2.1458,0.3226
Mockito-38,1.4038,0.1499
Time-1,0.4662,0.5306
Time-2,0.7769,0.3757
Time-3,0.2223,0.1018
Time-4,0.4628,0.2590
Time-5,0.2422,0.9555
Time-7,0.3129,0.2449
Time-8,0.5566,0.2189
Time-9,0.4583,0.2344
Time-10,0.3561,0.5744
Time-11,0.4504,0.2519
Time-12,0.7995,0.1428
Time-14,0.2705,0.2103
Time-15,0.3445,0.0251
Time-17,0.2428,0.1035
Time-18,0.5577,0.1464
Time-19,1.7118,0.5623
Time-21,0.1746,0.1342
Time-22,0.6936,0.1107
Time-23,0.0510,0.0457
Time-27,2.0940,0.4038
Closure-2,0.2732,0.1447
Closure-3,0.3579,0.2397
Closure-4,1.1605,0.3754
Closure-6,0.9199,0.4355
Closure-10,0.2006,0.2678
Closure-11,3.5347,0.8391
Closure-12,0.4547,0.6970
Closure-13,0.6883,0.1147
Closure-14,0.2479,0.0991
Closure-18,4.0537,0.3663
Closure-21,0.7486,0.4529
Closure-22,0.8544,0.4092
Closure-25,2.4023,0.5170
Closure-30,0.7486,0.5723
Closure-32,0.2699,0.0624
Closure-34,2.1489,0.9919
Closure-35,2.6473,0.4915
Closure-38,3.9694,0.7958
Closure-39,0.4248,0.3158
Closure-45,0.3521,0.2169
Closure-46,0.2145,0.1390
Closure-49,1.8575,0.3535
Closure-50,0.2183,0.1777
Closure-51,3.9719,0.4125
Closure-52,0.3345,0.3026
Closure-54,1.7745,0.7454
Closure-55,0.1306,0.0795
Closure-56,0.1001,0.2089
Closure-57,0.2773,0.0882
Closure-58,0.1450,0.1593
Closure-59,0.3486,0.2915
Closure-60,0.4173,0.0621
Closure-64,3.0140,0.2108
Closure-68,0.3761,0.1249
Closure-71,0.2507,0.1613
Closure-72,0.9683,0.2741
Closure-73,2.0243,0.3656
Closure-74,0.3156,0.1038
Closure-76,0.2538,0.4164
Closure-77,0.3573,0.0960
Closure-79,0.6174,0.0135
Closure-80,0.2523,0.0852
Closure-82,1.2094,0.1563
Closure-85,0.5532,0.3053
Closure-86,0.9242,1.1127
Closure-87,0.2932,0.2236
Closure-88,0.1129,0.1070
Closure-90,2.0588,1.2875
Closure-94,0.8718,0.1157
Closure-96,1.0566,0.5192
Closure-99,0.1346,0.0873
Closure-100,0.1360,0.0931
Closure-101,0.0792,0.0749
Closure-102,1.7567,0.2720
Closure-103,0.9834,0.1955
Closure-104,0.1687,0.0846
Closure-105,0.1240,0.1009
Closure-109,0.5914,0.3676
Closure-112,0.7065,0.4700
Closure-113,0.4482,0.3560
Closure-115,0.5046,0.4188
Closure-122,0.2992,0.1746
Closure-123,0.8153,0.2560
Closure-124,0.1725,0.1090
Closure-126,0.1689,0.0806
Closure-128,0.4371,0.3884
Closure-130,1.4202,0.5241
Closure-131,1.3924,0.0230
Closure-133,3.5125,0.6185
gzip-2,0.0051,0.0037
gzip-3,0.1632,0.0756
gzip-4,0.2127,0.0561
gzip-5,0.0841,0.0989
libtiff-1,0.2459,0.0368
libtiff-4,0.0000,0.0000
libtiff-7,1.7547,0.0809
space-4,0.2305,0.2929
space-5,0.3334,0.1491
space-6,1.0449,0.3472
space-7,0.9027,0.3146
space-8,0.4295,0.4253
space-9,2.6905,0.3272
space-10,0.8427,0.5290
space-11,1.4757,0.4956
space-12,0.3068,0.1947
space-13,0.3191,0.0497
space-14,3.8561,0.3410
space-15,4.1792,1.2792
space-16,0.3065,0.2153
space-17,2.7868,0.3882
space-18,0.3085,0.2651
space-19,0.3594,0.0927
space-20,0.6066,0.2842
space-21,0.4775,0.2680
space-22,0.1987,0.0514
space-23,0.3150,0.4793
space-24,1.7005,0.1452
space-28,3.4196,0.7922
space-29,1.0820,0.3141
space-31,0.1195,0.1277
space-33,0.6524,0.4672
space-37,0.4541,0.0470
